38.3	-36.7		43	0.3	54138.0746
68.2	19.5		21	1.0	54138.3105
26.5	-60.0		33	0.8	54138.5830
82.1	-29.8		34	0.3	54140.2299
271.8	-8.6		41	0.3	54140.6394
261.4	-32.3		45	0.5	54142.7042
188.3	50.5		41	0.8	54143.5769
41.1	-37.3		38	0.9	54153.8118
158.2	48.4		55	0.6	54156.5281
159.6	-9.0		40	0.9	54158.7586
148.2	-9.7		35	0.9	54159.2181
149.9	-66.7		52	0.8	54159.4158
93.6	-13.0		25	0.7	54160.4830
266.7	-26.2		28	0.8	54160.6180
299.5	-41.7		37	0.6	54160.8084
22.1	4.7		34	0.5	54161.3437
271.9	-47.1		26	0.3	54161.4239
121.7	23.5		41	0.5	54161.4361
47.1	-70.7		30	0.9	54165.5838
270.1	38.1		36	0.8	54165.8126
50.7	36.4		26	0.8	54166.2348
178.8	-45.1		27	0.7	54166.8796
172.0	-48.8		36	0.3	54168.6397
228.7	26.2		21	0.9	54168.8283
284.4	-55.0		36	0.5	54169.0685
62.0	9.2		19	0.8	54169.2785
45.9	-62.7		66	1.0	54170.4520
234.2	-9.2		35	0.6	54170.6618
337.0	-16.3		51	0.7	54170.6913
265.0	-63.7		35	0.7	54172.5065
335.3	39.3		30	0.9	54174.0718
52.8	13.6		61	0.9	54175.2890
194.1	-13.3		41	0.9	54175.8296
319.4	-8.2		23	0.6	54176.0823
245.9	-30.9		45	0.6	54177.6568
355.0	40.0		49	0.9	54183.0180
141.3	36.5		37	1.0	54186.4581
41.2	-50.9		30	0.4	54186.8969
101.6	22.7		29	0.8	54189.0416
170.6	-35.8		43	0.6	54189.7822
349.0	-30.9		50	0.6	54190.2196
170.4	-29.8		29	0.4	54193.3337
175.1	-39.9		36	0.3	54193.3671
72.8	23.8		44	0.9	54194.0011
63.3	-24.9		33	0.5	54194.0154
28.8	29.8		48	0.9	54194.1531
144.4	-78.9		40	0.6	54194.2813
227.8	-74.9		41	0.3	54194.4991
338.0	-13.5		49	0.6	54194.8930
11.2	-24.3		55	0.2	54194.9027
11.2	-40.4		58	0.3	54194.9665
104.5	-32.3		42	0.7	54202.5709
9.2	5.8		25	0.6	54202.9581
161.5	-35.3		58	0.9	54203.3625
169.7	-45.2		34	0.9	54203.9908
6.4	25.3		30	1.0	54204.9041
155.1	40.2		33	0.9	54208.2045
329.0	-7.9		43	0.9	54208.5445
244.2	-26.6		70	0.6	54208.6711
219.2	-5.9		49	0.4	54209.4653
276.3	-25.4		34	0.7	54209.7496
24.9	-40.5		41	0.7	54210.1159
249.3	14.5		51	0.3	54212.4088
247.4	6.0		26	0.5	54214.3566
50.5	-84.2		45	1.0	54214.8465
151.2	15.8		35	0.7	54215.4812
298.2	-65.7		30	0.5	54216.4851
273.3	-51.5		36	0.5	54216.6276
335.0	2.9		57	0.7	54216.8705
19.0	-22.8		47	0.6	54216.9107
37.8	34.8		68	1.0	54218.1593
53.0	-77.0		44	0.6	54218.2002
172.3	25.6		37	0.8	54218.5533
10.9	-44.3		33	0.4	54218.7596
19.3	-10.7		35	0.6	54219.0168
121.5	40.0		32	0.8	54220.1659
8.3	-48.4		39	0.3	54220.2440
7.3	-41.1		77	0.2	54220.9614
118.2	-81.9		32	1.0	54225.2553
244.9	-53.4		36	0.9	54225.3398
108.3	5.3		50	1.0	54225.9554
281.5	-67.1		25	0.6	54226.8729
299.9	-51.0		30	0.5	54228.8562
196.8	-6.7		37	0.7	54229.4136
339.5	-0.9		27	0.8	54229.5694
353.3	37.8		50	1.0	54230.7740
222.3	-24.9		37	0.6	54232.2420
271.1	-60.7		26	0.7	54236.5808
251.4	-20.9		29	0.8	54236.8429
53.8	-21.8		25	0.6	54237.1719
160.4	5.5		23	0.9	54237.3032
234.6	-24.9		40	0.8	54238.3294
302.3	-69.1		26	0.5	54238.4737
173.4	-44.5		28	0.7	54238.7742
75.9	-27.6		35	0.3	54240.8705
78.9	14.8		32	0.7	54242.1920
273.7	-44.9		31	1.0	54243.1645
100.3	17.9		37	0.8	54243.1772
270.5	14.7		40	0.5	54244.5687
14.3	-51.1		57	0.5	54244.6178
197.1	-70.4		30	0.6	54245.2980
144.1	-33.9		37	0.9	54245.3346
224.4	-4.5		36	0.4	54246.4472
157.8	-57.6		52	0.4	54246.6082
15.3	37.8		68	0.6	54246.7341
51.0	-45.7		53	0.4	54246.8878
6.3	-34.5		33	0.6	54246.9651
144.7	-71.7		57	0.8	54246.9924
35.5	-15.0		25	0.5	54249.7972
243.4	-64.4		30	0.6	54250.2598
323.2	-58.5		40	0.2	54250.5574
294.8	-36.2		51	0.5	54250.5688
315.9	-25.7		31	0.7	54250.9596
269.9	-7.8		46	0.9	54251.4290
16.8	-31.3		60	0.5	54251.7035
227.0	-30.3		32	0.8	54252.4242
250.0	-24.9		20	0.8	54252.7047
196.0	-28.4		24	1.0	54253.2769
334.1	-20.6		75	0.9	54254.3983
68.9	-33.2		53	0.3	54256.0425
53.4	4.9		22	1.0	54256.1807
346.9	-5.1		44	0.6	54256.8091
196.5	-15.0		25	0.6	54262.4612
180.9	-6.4		35	0.3	54263.2090
250.2	-55.4		50	0.2	54263.5576
245.8	10.4		28	0.8	54263.6833
12.9	-0.3		41	0.8	54263.8129
78.9	38.6		56	0.9	54266.0266
310.0	40.0		49	0.8	54266.5019
20.0	-9.5		37	0.3	54266.7168
243.6	-64.2		68	0.4	54266.8314
243.0	-50.5		31	0.9	54267.3679
272.6	-15.6		46	0.2	54268.4302
207.4	-48.1		35	0.6	54268.7361
272.3	-24.3		25	0.7	54269.3860
226.6	30.9		27	1.0	54269.5037
54.9	-19.3		49	0.7	54269.9118
219.6	-42.9		49	0.8	54270.0761
74.1	-6.4		22	0.5	54270.0988
41.5	-11.1		30	0.3	54271.0850
356.1	-0.3		38	1.0	54271.9365
158.6	-50.3		43	0.7	54272.2757
105.2	-42.1		55	0.3	54273.1077
280.4	-9.3		57	1.0	54273.6077
263.4	15.1		44	0.4	54274.3381
283.0	-5.2		23	0.7	54274.5929
214.0	-29.8		30	0.9	54275.0800
11.6	5.1		36	0.8	54277.5021
33.5	-21.2		27	0.9	54277.5424
320.0	46.1		45	0.6	54277.5519
39.1	-56.4		67	0.2	54283.8159
19.1	-20.7		30	0.3	54284.8632
271.1	20.6		26	0.5	54285.3471
148.1	-70.4		31	0.5	54285.8618
179.3	-7.6		41	0.7	54287.9193
64.1	-13.9		32	0.4	54288.9231
14.8	-18.9		44	0.3	54289.6467
140.1	-26.9		50	0.2	54290.0744
65.6	16.6		147	0.8	54291.7041
256.1	-0.7		50	0.8	54292.1194
40.0	-2.4		25	0.7	54292.7971
280.2	-61.9		41	0.7	54293.0479
107.9	35.0		38	0.8	54293.1132
33.1	-29.1		48	0.3	54293.7405
215.0	-3.2		60	0.3	54294.4270
147.1	12.5		38	0.6	54295.1134
4.5	-23.1		32	0.4	54295.8793
18.5	15.5		31	0.8	54296.8896
160.2	-51.7		47	0.3	54296.9646
113.1	12.1		35	0.9	54299.0744
153.2	-34.1		27	0.6	54299.2766
311.4	2.8		24	0.4	54300.3812
280.8	-20.0		51	0.2	54301.4679
125.0	-47.6		33	0.8	54301.5904
73.0	-78.2		37	0.4	54301.9573
243.2	-42.8		41	0.3	54302.3017
231.2	-13.7		40	0.6	54302.5700
66.3	25.3		40	0.6	54302.7102
328.5	-40.9		59	0.7	54302.8456
163.9	-45.8		30	0.8	54304.3424
165.0	37.2		31	0.7	54306.2341
301.5	-48.2		38	0.5	54306.9301
229.1	-66.9		35	0.4	54308.2220
125.7	-26.5		47	0.3	54308.9173
358.9	-31.5		55	0.4	54309.6928
101.6	-35.4		40	0.3	54310.0257
164.5	-42.9		44	0.3	54310.1723
333.0	-8.4		25	0.9	54310.2885
326.7	-1.9		42	0.8	54310.6733
95.7	41.2		44	1.0	54311.9877
313.5	-19.2		37	0.5	54312.5631
334.5	37.7		46	1.0	54312.6909
156.0	-5.4		30	0.4	54312.9599
259.9	-1.1		43	0.8	54313.1083
255.5	-31.2		47	0.3	54314.3888
319.5	-21.1		36	0.5	54315.4173
195.6	-58.4		44	0.4	54316.3106
52.0	-2.4		29	0.8	54318.6300
18.8	-46.3		43	0.7	54319.1045
324.6	-33.5		38	0.4	54320.3661
179.2	-27.6		53	0.7	54320.7720
244.2	-21.9		45	0.4	54321.1946
117.0	-12.2		47	1.0	54321.6408
302.7	-32.4		32	0.8	54322.1651
88.0	-35.4		47	0.4	54322.8825
60.9	-9.7		39	0.3	54323.0135
147.1	38.9		32	0.9	54323.0873
249.3	-13.1		33	0.6	54323.1094
268.5	-28.4		47	0.2	54323.2801
240.3	-32.4		35	0.6	54324.4567
141.3	-51.0		64	0.1	54327.1088
204.8	-78.0		39	0.4	54328.1577
177.6	-38.9		53	1.0	54328.4494
132.4	39.5		25	0.6	54328.8386
259.4	9.6		34	1.0	54330.2665
33.8	2.3		41	0.5	54330.5192
281.9	-26.0		52	0.2	54331.3917
125.8	-12.3		34	0.3	54331.8271
43.9	-46.3		50	0.3	54331.8284
